date & time,pmt_2_5,aqi_2_5,pmt_10,aqi_10,temp_from_humidity,temp_from_pressure,humidity,pressure
2020-04-17 00:00:05.049895,13.8,55,43.6,40,26.66319465637207,30.125,37.41398239135742,1014.3916015625
2020-04-17 00:00:59.583422,16.2,60,56.5,51,26.66319465637207,30.137500762939453,37.26386642456055,1014.344482421875
2020-04-17 00:01:23.604067,16.7,61,87.4,67,26.68055534362793,30.129165649414062,39.271148681640625,1014.379638671875
2020-04-17 00:02:18.111241,14.0,55,58.8,52,26.68055534362793,30.129165649414062,42.30781555175781,1014.381591796875
2020-04-17 00:02:42.184155,11.6,48,51.6,47,26.71527862548828,30.129165649414062,36.91216278076172,1014.383544921875
2020-04-17 00:03:36.654180,11.9,50,39.4,36,26.66319465637207,30.135417938232422,41.70305633544922,1014.37255859375
2020-04-17 00:04:00.762844,12.9,53,45.5,42,26.73263931274414,30.133333206176758,37.36251449584961,1014.3720703125
2020-04-17 00:04:55.231715,10.5,44,41.6,38,26.64583396911621,30.129165649414062,39.241127014160156,1014.395263671875
2020-04-17 00:05:19.309704,15.3,58,75.8,61,26.61111068725586,30.12291717529297,37.435428619384766,1014.36279296875
2020-04-17 00:06:13.792387,13.6,54,51.3,47,26.64583396911621,30.133333206176758,38.09165573120117,1014.3369140625
2020-04-17 00:06:37.851545,11.7,49,41.2,38,26.64583396911621,30.120834350585938,37.606990814208984,1014.33349609375
2020-04-17 00:07:32.351671,13.0,53,53.2,49,26.61111068725586,30.12708282470703,37.345359802246094,1014.306640625
2020-04-17 00:07:56.430826,10.4,43,27.8,25,26.75,30.125,36.99794387817383,1014.338623046875
2020-04-17 00:08:50.901333,15.0,57,66.1,56,26.59375,30.12291717529297,37.426849365234375,1014.3603515625
2020-04-17 00:09:15.009603,12.6,52,48.8,44,26.62847137451172,30.112499237060547,41.681610107421875,1014.381103515625
2020-04-17 00:10:09.472616,17.8,63,84.3,65,26.61111068725586,30.133333206176758,37.070858001708984,1014.353271484375
2020-04-17 00:10:33.584459,16.3,60,57.6,52,26.64583396911621,30.125,36.843536376953125,1014.384765625
2020-04-17 00:11:28.049260,12.5,52,47.1,44,26.57638931274414,30.125,37.298179626464844,1014.408203125
2020-04-17 00:11:52.164525,11.9,50,38.5,35,26.62847137451172,30.129165649414062,37.36251449584961,1014.411376953125
2020-04-17 00:12:46.625859,10.4,43,31.1,29,26.66319465637207,30.118749618530273,37.255287170410156,1014.375244140625
2020-04-17 00:13:10.742147,15.5,58,51.7,47,26.66319465637207,30.116666793823242,36.86069107055664,1014.382080078125
2020-04-17 00:14:05.202447,12.6,52,58.2,52,26.57638931274414,30.129165649414062,37.0536994934082,1014.4111328125
2020-04-17 00:14:29.316339,11.0,46,47.2,44,26.64583396911621,30.12708282470703,37.63701629638672,1014.33642578125
2020-04-17 00:15:23.779003,9.4,39,29.6,27,26.66319465637207,30.120834350585938,37.00652313232422,1014.352783203125
2020-04-17 00:15:47.851288,14.8,57,55.7,51,26.66319465637207,30.120834350585938,32.824676513671875,1014.379638671875
2020-04-17 00:16:42.351785,16.7,61,64.6,55,26.69791603088379,30.120834350585938,37.22097396850586,1014.372802734375
2020-04-17 00:17:06.389554,18.3,64,75.8,61,26.61111068725586,30.120834350585938,37.13090515136719,1014.3876953125
2020-04-17 00:18:00.927582,8.5,35,29.9,27,26.62847137451172,30.112499237060547,36.813514709472656,1014.34521484375
2020-04-17 00:18:23.309420,8.7,36,30.3,28,26.62847137451172,30.114582061767578,37.19095230102539,1014.36328125
2020-04-17 00:18:26.795693,8.4,35,28.8,26,26.64583396911621,30.116666793823242,36.84782409667969,1014.38671875
2020-04-17 00:19:19.508947,10.1,42,29.8,27,26.64583396911621,30.118749618530273,36.86498260498047,1014.3427734375
2020-04-17 00:19:41.885776,10.3,43,34.6,31,26.64583396911621,30.110416412353516,36.667686462402344,1014.329833984375
2020-04-17 00:20:38.104552,12.7,52,49.4,45,26.66319465637207,30.100000381469727,37.01081085205078,1014.348388671875
2020-04-17 00:21:00.458806,14.0,55,47.8,44,26.69791603088379,30.110416412353516,36.58190155029297,1014.352294921875
2020-04-17 00:21:56.678496,10.6,44,34.4,31,26.64583396911621,30.114582061767578,36.307403564453125,1014.322998046875
2020-04-17 00:22:18.981272,13.1,53,55.8,51,26.61111068725586,30.106250762939453,36.804935455322266,1014.33154296875
2020-04-17 00:23:15.294649,10.1,42,27.4,25,26.66319465637207,30.102083206176758,37.079437255859375,1014.32177734375
2020-04-17 00:23:37.558116,12.8,52,51.7,47,26.68055534362793,30.104167938232422,36.32455825805664,1014.29931640625
2020-04-17 00:24:33.876982,6.9,29,27.8,25,26.55902862548828,30.09375,37.512630462646484,1014.3173828125
2020-04-17 00:24:56.089039,12.5,52,52.1,48,26.54166603088379,30.09375,37.023677825927734,1014.30322265625
2020-04-17 00:25:52.509608,11.4,48,55.7,51,26.71527862548828,30.100000381469727,36.75346374511719,1014.292724609375
2020-04-17 00:26:14.665515,17.9,63,65.2,56,26.66319465637207,30.09375,36.53472137451172,1014.28515625
2020-04-17 00:27:11.081617,6.7,28,22.0,20,26.64583396911621,30.09375,36.81780242919922,1014.29296875
2020-04-17 00:27:33.242113,5.8,24,14.6,13,26.71527862548828,30.085416793823242,37.199527740478516,1014.273193359375
2020-04-17 00:28:29.662064,7.1,30,37.4,34,26.64583396911621,30.089584350585938,36.92502975463867,1014.305908203125
2020-04-17 00:28:51.766105,15.3,58,57.4,52,26.64583396911621,30.097915649414062,32.05693054199219,1014.31201171875
